Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,17501,4.423115,2.0,0,1,9,229,128,10,23,0.609375,38,185,44,0,7.524017,82,8,9,14.22222,0.5,0.08333334,281.8083,0.8888889,15,0,0.0,112,0,3,1.282649,2,0.875,0.144258,1.277409,0,0.002664,0,0,0,2,4,2,2,2,0,0,0,0,0,68
,17502,4.572363,2.0,0,1,12,202,111,16,26,0.7747748,41,175,27,0,7.381188,61,6,12,9.25,0.5,0.25,259.2262,0.6666667,35,0,0.0,88,1,8,2.053731,2,0.7927928,0.07019129,1.304906,0,0.002664,1,0,0,0,7,4,3,3,2,0,0,0,0,70
,17503,4.080712,2.0,0,1,4,71,42,9,11,0.7142857,18,60,11,0,7.338028,21,1,4,10.5,0.6666667,0.5555556,367.2515,0.25,12,1,0.0,34,2,3,1.099316,0,0.8095238,0.1254292,1.550978,0,0.002664,3,3,0,0,2,1,1,1,1,0,0,0,0,24
,17504,4.39758,2.0,0,1,3,102,56,6,19,0.8571429,24,88,14,0,7.107843,36,5,3,18.66667,0.5,0.0,358.9744,0.6666667,16,0,0.0,49,0,1,0.06088305,0,0.875,0.05139537,1.556568,0,0.002664,2,2,1,0,3,2,1,0,0,1,0,0,0,41
,17505,5.616466,3.0,0,1,18,361,223,42,48,0.6502242,72,316,45,0,7.534626,112,5,18,12.38889,0.0,0.3541667,284.2207,0.8333333,37,0,0.1111111,183,0,10,2.930259,0,0.8206278,0.1205345,1.70193,2,0.037336,11,14,5,3,7,5,2,1,2,1,0,0,0,122
,17506,3.477312,1.0,0,1,5,47,31,5,11,0.5806451,7,45,2,0,6.382979,12,2,5,6.2,1.0,0.0,360.6061,0.0,0,1,0.0,29,0,3,1.682649,0,0.9354839,0.2124918,1.52668,0,0.002664,1,1,1,0,0,0,0,0,0,0,0,0,0,17
,17507,3.739,1.0,0,1,1,29,16,2,4,0.9375,5,24,5,0,7.586207,6,2,1,16.0,1.0,0.3333333,375.0,1.0,7,0,0.0,12,0,0,0.0,0,0.75,0.0,2.216591,0,0.002664,0,0,0,0,1,1,0,0,0,0,0,0,0,12
,17508,4.661667,2.0,0,1,11,196,109,12,28,0.7431192,45,168,28,0,7.530612,82,1,11,9.909091,0.5,0.5735714,404.7824,0.4545455,13,0,0.0,88,1,6,2.065298,0,0.8073394,0.0720532,1.18312,0,0.002664,2,2,0,0,7,7,0,0,2,1,0,0,0,70
,17509,4.354654,2.0,0,1,8,99,61,14,18,0.8196721,18,84,15,0,7.383838,38,0,8,7.625,0.5,0.4375,266.1436,0.125,8,0,0.0,51,2,7,2.221419,0,0.8360656,0.04789114,1.449526,0,0.002664,5,4,0,0,2,2,2,0,0,2,0,0,0,44
,17510,4.643,2.0,0,1,2,32,18,2,5,1.0,8,27,5,0,8.28125,12,1,2,9.0,0.0,0.0,324.6754,0.0,7,0,0.0,17,0,1,0.2275497,0,0.9444444,0.0,0.7345085,0,0.002664,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,17511,5.15293,4.0,0,1,15,286,164,23,47,0.6097561,57,228,58,0,7.70979,107,6,15,10.93333,0.0,0.4047619,278.1818,0.7333333,40,0,0.0,136,1,8,1.67516,4,0.8292683,0.1215954,1.354189,0,0.002664,0,0,0,0,7,5,1,0,1,3,0,0,0,88
,17512,4.823158,2.0,0,1,6,97,70,7,15,0.6142857,34,77,15,3,7.557895,25,1,6,11.66667,0.0,0.06666666,270.873,0.5,13,0,0.0,51,0,4,1.037977,0,0.7285714,0.1269625,1.420539,0,0.002664,0,0,0,0,3,3,0,0,1,1,0,0,1,34
,17513,4.702756,2.0,0,1,4,68,48,11,17,0.7916667,15,56,10,2,7.75,16,2,4,12.0,0.0,0.0,216.0256,1.25,22,0,0.0,35,2,1,0.560883,0,0.7291667,0.03884258,1.700325,0,0.002664,1,1,0,1,2,2,0,0,0,1,0,0,1,31
,17514,4.278106,2.0,0,1,4,80,55,12,16,0.8727273,15,68,12,0,7.45,25,0,4,13.75,0.5,0.3111111,325.9259,0.5,10,0,0.0,44,1,2,1.121766,0,0.8,0.02202659,1.626892,0,0.002664,0,0,0,0,1,1,0,0,0,1,0,0,0,41
,17515,4.600419,2.0,0,1,7,109,63,9,10,0.9206349,24,84,25,0,8.082569,38,4,7,9.0,0.3333333,0.1761905,420.2381,0.7142857,7,0,0.0,51,0,5,1.471082,0,0.8095238,0.02296131,1.590208,0,0.002664,3,3,2,0,5,3,1,1,0,2,0,0,0,47
,17516,5.029433,4.0,0,1,9,244,129,20,31,0.7131783,42,215,27,0,7.334711,77,14,9,14.33333,0.0,0.2222222,340.2472,0.5555556,13,0,0.0,97,2,3,1.206459,1,0.751938,0.07428663,1.038897,0,0.002664,1,1,0,0,16,11,3,0,1,1,0,0,0,76
,17517,4.748838,2.0,0,1,2,54,33,4,6,0.969697,13,48,6,0,6.703704,21,0,2,16.5,0.0,0.0,600.0,1.5,0,0,0.0,25,1,1,0.1608831,0,0.7575758,0.01254292,2.091935,0,0.002664,3,3,1,2,5,4,0,0,1,1,0,0,0,24
,17518,4.690059,2.0,0,1,2,47,25,5,4,0.88,13,42,5,0,7.382979,17,1,2,12.5,0.0,0.3,272.0588,0.0,7,0,0.0,20,0,1,0.560883,0,0.8,0.01584368,1.332497,0,0.002664,0,0,0,0,2,1,0,0,0,1,0,0,0,19
,17519,4.192257,1.0,0,1,4,58,34,4,11,0.8235294,9,54,4,0,6.689655,21,0,4,8.5,0.5,0.625,261.8055,0.0,7,0,0.0,29,1,3,1.182649,0,0.8529412,0.0481648,2.203677,0,0.002664,2,2,1,0,2,2,0,0,0,2,0,0,0,25
,17520,4.633,2.0,0,1,2,34,20,3,4,1.0,6,33,1,0,6.294117,12,1,2,10.0,0.0,0.2,395.8333,0.0,7,0,0.0,17,0,2,0.1931946,0,0.85,0.0,1.705091,0,0.002664,1,1,1,0,1,1,0,0,0,1,0,0,0,17
,17521,4.875268,2.0,0,1,5,112,69,15,12,0.8985507,25,96,16,0,6.955357,33,2,5,13.8,0.0,0.3125,258.9286,0.8,12,0,0.2,60,1,2,0.8717661,0,0.8695652,0.02882042,1.874148,1,0.017336,2,2,1,0,1,1,0,0,0,1,0,0,0,54
,17522,4.707,2.0,0,1,4,69,36,6,8,0.9444444,10,63,6,0,6.666667,23,2,4,9.0,0.0,0.5,375.6127,0.5,9,0,0.25,26,1,3,0.7826492,0,0.7222222,0.0,1.687713,1,0.017336,2,2,0,1,4,3,1,1,0,1,0,0,0,26
,17523,3.739,2.0,0,1,1,33,22,5,7,1.0,5,25,8,0,7.909091,9,1,1,22.0,1.0,0.0,0.0,2.0,0,0,0.0,18,1,0,0.0,0,0.8181818,0.0,2.111982,0,0.002664,0,0,0,0,1,1,0,0,0,1,0,0,0,18
,17524,4.784552,2.0,0,1,6,110,66,12,19,0.9545454,18,88,21,0,7.59633,37,2,6,11.0,0.0,0.3416667,292.472,0.1666667,7,0,0.0,55,0,2,0.5027184,0,0.8333333,0.01135962,1.504481,0,0.002664,1,1,1,0,4,3,1,0,0,1,0,0,0,53
,17525,4.549719,2.0,0,1,2,31,22,4,5,0.9090909,5,27,4,0,7.354839,9,0,2,11.0,0.0,0.5,242.8571,0.5,0,0,0.0,19,0,1,0.560883,0,0.8636364,0.0354153,1.738429,0,0.002664,0,0,0,0,1,1,0,0,0,1,0,0,0,17
,17526,4.531892,2.0,0,1,11,205,124,25,23,0.6612903,41,184,21,0,7.229268,77,2,11,11.27273,0.5,0.1885714,247.104,0.6363636,29,0,0.0,102,0,6,1.381965,0,0.8225806,0.0981409,1.281119,0,0.002664,0,0,0,1,4,1,3,1,0,1,0,0,0,71
,17527,4.594129,2.0,0,1,3,56,32,8,6,0.9375,7,50,6,0,6.803571,21,0,3,10.66667,0.0,0.08333334,260.6061,0.6666667,0,0,0.0,27,0,1,0.2275497,0,0.84375,0.0240824,1.19962,0,0.002664,0,0,0,0,1,1,0,0,0,1,0,0,0,25
,17528,4.727,2.0,0,1,3,57,35,5,10,1.0,14,44,13,0,8.0,18,2,3,11.66667,0.0,0.0,285.7143,1.333333,12,0,0.0,29,1,1,0.360883,0,0.8285714,0.0,1.459394,0,0.002664,0,0,0,1,1,1,0,0,0,1,0,0,0,29
,17529,4.752568,2.0,0,1,5,120,73,17,18,0.8630137,18,104,16,0,7.066667,35,2,5,14.6,0.0,0.0,228.5714,0.6,0,0,0.0,60,0,3,1.515983,0,0.8219178,0.03344778,1.992326,0,0.002664,1,1,0,0,2,1,1,0,0,1,0,0,0,54
,17530,4.254,1.0,0,1,3,49,28,2,7,1.0,11,41,7,0,7.708333,17,2,3,9.333333,0.5,1.7,377.2727,0.0,12,0,0.0,23,0,2,0.3884327,1,0.8214286,0.0,1.814955,0,0.002664,0,0,0,0,3,1,1,1,0,1,0,0,0,23
,17531,4.719934,2.0,0,1,6,103,56,12,16,0.8392857,15,97,6,0,6.825243,27,7,6,9.333333,0.0,0.4722222,299.5829,0.1666667,14,0,0.0,44,0,3,1.099316,0,0.7857143,0.02697953,1.929754,0,0.002664,2,1,0,1,5,3,2,0,1,1,0,0,0,40
,17532,4.703,2.0,0,1,3,43,25,4,7,1.0,11,36,7,0,7.325582,12,3,3,8.333333,0.0,0.3333333,296.8254,0.6666667,7,0,0.0,19,0,1,0.560883,0,0.76,0.0,1.690409,0,0.002664,1,1,1,0,2,1,0,0,0,1,0,0,0,19
,17533,4.742129,2.0,0,1,3,65,35,11,9,0.8285714,15,58,7,0,6.846154,16,2,3,11.66667,0.0,0.2777778,343.5897,0.0,20,0,0.3333333,27,2,1,0.2275497,0,0.7714286,0.0240824,2.084576,1,0.017336,2,2,0,0,2,1,1,0,0,1,0,0,0,25
,17534,4.705037,2.0,0,1,5,98,56,10,11,0.8392857,16,84,14,0,6.704082,34,4,5,11.2,0.0,0.5933334,306.6303,0.8,15,0,0.0,45,2,3,0.8159825,0,0.8035714,0.03450529,1.402798,0,0.002664,0,0,0,0,2,2,0,0,0,2,0,0,0,40
,17535,4.336244,2.0,0,1,3,58,31,7,8,0.516129,15,48,10,0,7.689655,19,4,3,10.33333,0.0,0.0,242.8571,0.0,0,0,0.0,27,0,3,0.9207443,0,0.8709677,0.2795278,1.416481,0,0.002664,0,0,0,0,2,2,0,0,0,2,0,0,0,14
,17536,4.703375,2.0,0,1,10,164,113,26,23,0.7876106,44,132,32,0,7.835366,41,2,10,11.3,0.5,0.2328042,286.9846,0.6,28,0,0.0,94,2,6,1.403393,0,0.8318584,0.05844294,2.014415,0,0.002664,4,4,2,1,4,4,0,0,1,1,0,0,0,76
,17537,4.671,2.0,0,1,3,38,19,2,5,1.0,10,33,5,0,7.157895,16,0,3,6.333333,0.0,0.0,327.7778,0.0,0,0,0.0,17,0,3,1.432649,0,0.8947368,0.0,0.9030635,0,0.002664,0,0,0,0,2,1,0,0,1,1,0,0,0,17
,17538,4.587,1.0,0,1,2,19,9,2,1,1.0,4,15,4,0,8.157895,7,0,2,4.5,0.0,0.0,425.0,0.5,0,0,0.0,7,0,0,0.0,0,0.7777778,0.0,1.112655,0,0.002664,0,0,0,0,1,1,0,0,0,1,0,0,0,7
,17539,5.015387,2.0,0,1,9,196,117,23,35,0.7008547,40,171,25,0,7.081633,64,6,9,13.0,0.0,0.1666667,301.5461,0.1111111,12,0,0.0,101,5,3,1.182649,0,0.8632479,0.06464988,1.693989,0,0.002664,1,1,1,0,2,2,1,0,0,2,0,0,0,76
,17540,4.80254,2.0,0,1,6,127,81,16,20,0.7654321,25,106,21,0,6.929134,30,5,6,13.5,0.0,0.7857143,269.4862,0.8333333,19,0,0.0,59,1,3,0.7659824,1,0.728395,0.0541854,1.917482,0,0.002664,0,0,0,0,4,1,3,2,0,1,0,0,0,50
,17541,4.823747,2.0,0,1,7,142,85,18,20,0.7529412,24,128,14,0,6.71831,43,4,7,12.14286,0.0,0.3714285,243.8514,0.4285714,21,0,0.0,66,2,3,1.339792,0,0.7764706,0.05473273,2.05421,0,0.002664,2,2,0,0,4,4,0,0,0,1,0,0,0,55
,17542,4.58441,1.0,0,1,5,78,47,10,10,0.8297873,11,70,8,0,6.692307,29,1,5,9.4,0.0,0.0,261.3853,1.8,13,0,0.0,32,0,4,0.8030559,0,0.680851,0.06946847,2.026842,0,0.002664,0,0,0,0,2,2,1,0,0,2,0,0,0,26
,17543,4.63993,2.0,0,1,3,58,36,9,9,0.9166667,11,53,5,0,6.87931,16,3,3,12.0,0.0,0.3333333,272.0085,0.3333333,13,0,0.0,28,1,1,0.1608831,0,0.7777778,0.03112605,1.783214,0,0.002664,0,0,0,0,4,3,0,0,0,1,0,0,0,25
,17544,4.682521,2.0,0,1,6,119,65,14,22,0.8769231,14,103,16,0,7.394958,44,3,6,10.83333,0.0,0.0,234.4948,0.1666667,19,0,0.0,54,1,3,0.6159824,0,0.8307692,0.03071735,1.484392,0,0.002664,0,0,0,0,6,3,3,1,0,2,1,0,0,49
,17545,4.441589,2.0,0,1,6,94,58,14,16,0.862069,24,81,13,0,7.244681,34,1,6,9.666667,0.5,0.1666667,243.9394,0.1666667,6,0,0.0,46,0,5,0.9210819,0,0.7931035,0.02100209,1.966638,0,0.002664,2,2,1,0,2,1,1,1,0,1,0,0,0,43
,17546,4.323939,2.0,0,1,4,60,34,4,8,0.9705882,17,49,11,0,7.433333,24,1,4,8.5,0.5,0.35,296.4286,0.0,0,0,0.0,32,0,3,1.149316,0,0.9411765,0.009710645,1.652083,0,0.002664,0,0,0,0,1,1,0,0,0,1,0,0,0,31
,17547,4.577565,2.0,0,1,4,73,43,9,9,0.8139535,8,66,7,0,7.39726,25,1,4,10.75,0.0,0.125,278.0934,1.0,15,0,0.0,31,1,0,0.0,0,0.7209302,0.07005172,1.383675,0,0.002664,2,2,0,1,5,4,2,1,0,2,0,0,0,24
,17548,4.962529,2.0,0,1,8,153,82,14,16,0.8658537,27,132,20,0,7.243421,46,2,8,10.25,0.0,0.7428571,264.6826,0.25,19,0,0.0,64,2,5,1.411558,0,0.7804878,0.01275658,1.809181,0,0.002664,4,4,3,0,6,4,1,1,0,2,0,0,0,61
,17549,4.761485,2.0,0,1,6,107,60,9,14,0.8666667,19,90,17,0,7.728972,43,2,6,10.0,0.0,0.3666666,287.1429,0.3333333,12,0,0.0,48,0,3,0.8493158,0,0.8,0.02452685,1.182779,0,0.002664,0,0,0,0,4,4,0,0,1,1,0,0,0,44
,17550,4.573105,2.0,0,1,3,55,37,10,4,0.5945946,14,50,5,0,8.0,14,2,3,12.33333,0.0,0.2954545,409.6491,1.0,15,0,0.0,27,0,2,0.6360518,0,0.7297297,0.143574,2.040296,0,0.002664,4,3,2,1,1,1,0,0,0,1,0,0,0,18
,17551,4.504831,2.0,0,1,14,226,133,21,38,0.7819549,44,193,32,0,7.342222,67,10,14,9.5,0.75,0.08974358,280.8548,0.4285714,24,0,0.0,109,1,9,2.314614,0,0.8195488,0.05916374,1.911033,0,0.002664,5,5,2,0,6,4,3,1,2,2,0,0,1,89
,17552,4.097195,1.0,0,1,9,113,72,16,17,0.7222222,23,102,11,0,7.460177,35,3,9,8.0,0.8,0.50625,459.3254,0.0,19,0,0.0,65,4,5,1.375844,1,0.9027778,0.0954459,2.447762,0,0.002664,4,4,0,0,3,2,0,0,0,1,0,0,0,46
,17553,4.779847,2.0,0,1,6,73,45,8,7,0.8222222,18,57,16,0,7.753425,22,3,6,7.5,0.0,0.15,383.3333,0.1666667,8,0,0.0,35,1,4,1.243532,1,0.7777778,0.05190173,1.989744,0,0.002664,4,4,0,0,4,4,1,0,0,2,2,0,0,29
,17554,4.748219,2.0,0,1,3,77,48,8,11,0.8333333,12,67,10,0,7.168831,26,0,3,16.0,0.0,0.125,365.3846,0.6666667,0,0,0.0,40,1,1,0.2275497,0,0.8333333,0.04059445,2.262085,0,0.002664,6,6,2,0,2,1,1,1,0,1,0,0,0,34
,17555,4.798738,2.0,0,1,3,96,60,16,25,0.7,22,89,7,0,6.760417,30,3,3,20.0,0.0,0.125,273.897,0.3333333,14,0,0.0,50,2,0,0.0,0,0.8333333,0.1023906,2.019072,0,0.002664,6,6,3,0,1,1,0,0,0,1,0,0,0,37
,17556,4.647,1.0,0,1,2,22,16,2,5,1.0,7,22,0,0,7.363636,6,0,2,8.0,0.0,0.0,309.5238,0.0,0,0,0.0,14,0,1,0.360883,0,0.875,0.0,2.399908,0,0.002664,1,1,0,0,2,2,0,0,0,1,0,0,0,14
,17557,4.788116,2.0,0,1,4,76,49,11,14,0.755102,15,62,14,0,7.657895,22,1,4,12.25,0.0,0.1666667,258.0682,0.75,15,0,0.25,40,2,2,0.2884327,0,0.8163266,0.07934037,2.18108,1,0.017336,9,9,0,1,3,2,1,0,0,2,1,0,0,30
,17558,4.675629,2.0,0,1,4,88,57,10,17,0.7719298,15,74,14,0,7.386364,25,0,4,14.25,0.0,0.0,367.6471,0.25,10,0,0.0,46,3,1,0.1608831,0,0.8070176,0.08243889,1.696677,0,0.002664,3,3,0,0,6,5,1,0,0,2,1,0,0,35
,17559,4.950983,2.0,0,1,4,114,73,18,16,0.6986302,28,91,23,0,7.605263,33,4,4,18.25,0.0,0.5185184,364.0351,1.0,23,0,0.0,61,1,1,0.06088305,0,0.8356164,0.08012268,1.710445,0,0.002664,8,8,0,1,1,1,0,0,0,1,0,0,0,45
,17560,3.878352,5.0,0,1,1,71,49,10,16,0.7755102,15,59,12,0,7.802817,18,2,1,49.0,1.0,0.0,0.0,5.0,0,0,0.0,35,1,0,0.0,0,0.7142857,0.05017167,2.11331,0,0.002664,4,4,2,0,1,1,0,0,0,1,0,0,0,30
,17561,3.803403,5.0,0,1,1,56,37,5,10,0.7297297,13,46,10,0,7.267857,19,0,1,37.0,1.0,0.0,0.0,0.0,0,0,0.0,33,0,0,0.0,0,0.8918919,0.08259464,2.159139,0,0.002664,4,4,1,0,1,1,0,0,0,1,0,0,0,24
,17562,4.194359,1.0,0,1,3,35,22,4,4,0.9090909,6,32,3,0,6.828571,9,2,3,7.333333,0.5,0.5555556,266.6667,0.3333333,7,0,0.0,18,1,3,0.2826492,1,0.8181818,0.01770765,2.338671,0,0.002664,2,2,0,0,1,1,0,0,0,1,0,0,0,17
,17563,4.849946,2.0,0,1,7,144,85,15,20,0.8352941,21,127,17,0,7.25,43,5,7,12.14286,0.0,0.1805555,269.8413,0.7142857,26,0,0.1428571,68,1,5,0.9544152,0,0.8,0.03249625,1.787533,1,0.017336,4,4,0,1,3,2,1,0,0,1,0,0,0,61
,17564,4.932377,2.0,0,1,6,137,82,21,13,0.8170732,25,119,18,0,7.357664,42,5,6,13.66667,0.0,0.3166667,337.2549,1.0,23,0,0.0,60,2,0,0.0,0,0.7317073,0.0391043,2.266207,0,0.002664,6,6,1,1,6,5,1,0,0,2,0,0,0,52
,17565,4.601,1.0,0,1,2,26,15,5,3,1.0,5,24,2,0,7.038462,11,0,2,7.5,0.0,1.0,150.0,0.0,0,0,0.0,13,0,1,0.06088305,0,0.8666667,0.0,1.634679,0,0.002664,0,0,0,0,1,1,0,0,0,1,0,0,0,13
,17566,4.745,2.0,0,1,3,58,33,10,5,0.969697,14,54,4,0,7.258621,15,5,3,11.0,0.0,0.3333333,253.9682,0.0,6,0,0.0,25,0,2,0.3217661,0,0.7575758,0.0,1.709907,0,0.002664,1,1,1,0,3,2,0,0,0,1,0,0,0,25
,17567,4.320286,2.0,0,1,6,103,61,9,11,0.6885246,16,92,8,2,6.911765,34,4,6,10.16667,0.3333333,0.6027778,268.4704,0.1666667,13,0,0.0,52,0,5,1.213145,1,0.852459,0.1390752,1.62755,0,0.002664,3,3,3,0,4,3,0,0,1,1,0,0,0,35
,17568,4.488552,2.0,0,1,9,194,122,26,23,0.6967213,25,177,16,0,6.974093,58,4,9,13.55556,0.3333333,0.6214285,254.7542,1.0,28,0,0.0,96,1,2,0.921766,0,0.7868853,0.09745537,1.529458,0,0.002664,2,2,0,0,4,2,2,1,0,1,0,0,0,70
,17569,4.684838,2.0,0,1,2,56,31,7,9,0.9354839,11,46,10,0,7.321429,20,1,2,15.5,0.0,0.0,333.3333,0.0,6,0,0.0,25,0,0,0.0,1,0.8064516,0.01254292,2.017463,0,0.002664,1,1,0,0,3,2,0,0,0,2,0,0,0,24
,17570,4.28943,2.0,0,1,4,96,58,7,14,0.8448276,26,82,13,1,7.427083,38,0,4,14.5,0.6666667,1.361111,487.8788,0.25,21,0,0.0,54,1,2,0.6217661,0,0.9310345,0.04620403,1.792016,0,0.002664,2,2,2,0,2,1,1,1,0,1,0,0,0,45
,17571,4.108898,1.0,0,1,8,90,54,7,18,0.8518519,25,75,15,0,7.155556,28,4,8,6.75,0.8571429,0.2,254.8752,0.125,0,0,0.0,44,2,6,1.715298,0,0.8148148,0.03539003,2.086317,0,0.002664,1,1,0,0,1,1,0,0,0,1,0,0,0,39
,17572,4.66336,1.0,0,1,3,47,23,6,5,0.8695652,10,42,5,0,6.361702,11,0,3,7.666667,0.0,0.5,383.3333,0.3333333,8,0,0.0,18,0,2,1.121766,0,0.7826087,0.01770765,1.889163,0,0.002664,1,1,0,1,1,1,0,0,0,1,0,0,0,17
,17573,3.729,1.0,0,1,1,25,16,4,3,1.0,3,22,3,0,7.4,5,2,1,16.0,1.0,0.0,0.0,0.0,0,0,0.0,12,0,0,0.0,0,0.75,0.0,1.816332,0,0.002664,1,1,1,0,2,1,0,0,0,1,0,0,0,12
,17574,3.790121,5.0,0,1,1,50,35,4,13,0.7142857,12,47,3,0,7.14,15,0,1,35.0,1.0,0.0,0.0,0.0,0,0,0.0,29,0,0,0.0,2,0.8285714,0.08209909,2.279198,0,0.002664,4,4,4,0,2,2,0,0,0,2,0,0,0,22
,17575,3.758618,5.0,0,1,1,40,29,4,5,0.8965517,4,38,2,0,6.675,11,0,1,29.0,1.0,0.0,0.0,2.0,0,0,0.0,20,0,0,0.0,0,0.6896552,0.02650674,2.24699,0,0.002664,4,4,3,1,2,1,1,0,0,2,0,0,0,18
,17576,5.388707,2.0,0,1,18,284,175,29,51,0.6914285,81,240,44,0,7.158451,94,3,18,9.722222,0.3333333,0.2352941,301.515,0.3888889,63,0,0.05555556,145,3,10,3.513592,1,0.8285714,0.09182298,1.82633,1,0.017336,9,8,1,3,10,3,4,1,2,1,0,0,1,102
,17577,3.729162,1.0,0,1,4,61,40,10,14,0.8,6,54,7,0,7.229508,19,1,4,10.0,1.0,0.875,293.6508,0.5,16,0,0.0,33,1,2,0.6217661,0,0.825,0.05375536,1.72255,0,0.002664,1,3,0,1,1,1,0,0,0,1,0,0,0,28
,17578,4.66993,2.0,0,1,3,60,34,7,10,0.8823529,8,51,9,0,7.75,23,0,3,11.33333,0.0,0.2666667,345.9596,0.0,12,0,0.0,28,1,1,0.360883,0,0.8235294,0.03112605,2.446195,0,0.002664,4,4,3,0,3,1,1,1,0,1,0,0,0,25
,17579,4.843487,2.0,0,1,3,88,55,11,14,0.8909091,24,71,17,0,7.454545,24,3,3,18.33333,0.0,0.125,211.1111,0.3333333,7,0,0.0,46,0,1,0.560883,1,0.8363636,0.02866952,1.869101,0,0.002664,1,1,1,0,4,3,2,0,0,2,0,0,0,42
,17580,4.947904,2.0,0,1,5,106,63,14,17,0.8095238,33,87,19,0,7.716981,28,6,5,12.6,0.0,0.25,268.75,0.4,14,0,0.0,51,0,1,0.560883,0,0.8095238,0.05600558,1.516614,0,0.002664,2,2,0,1,2,1,0,0,0,1,0,0,0,43
,17581,3.899941,2.0,0,1,3,71,39,7,9,0.9230769,16,60,11,0,7.492958,26,0,3,13.0,1.0,0.0,236.1111,1.333333,6,0,0.0,32,1,2,0.5217661,0,0.8205128,0.02006867,1.794025,0,0.002664,2,2,0,1,2,2,0,0,0,2,0,0,0,30
,17582,5.027115,2.0,0,1,7,211,129,25,33,0.7209302,42,172,37,2,8.161138,67,6,7,18.42857,0.0,0.4375,311.6246,1.857143,20,0,0.0,96,1,3,0.6687602,0,0.744186,0.07588723,1.508817,0,0.002664,1,1,1,1,13,11,2,2,0,2,1,0,0,75
,17583,5.017034,2.0,0,1,11,174,101,20,21,0.7524753,38,147,27,0,7.563219,57,5,11,9.181818,0.0,0.2733333,287.0238,0.7272727,7,0,0.09090909,83,0,8,3.387064,0,0.8217822,0.06903725,1.788701,1,0.017336,3,3,0,0,4,1,2,1,0,2,0,0,1,65
,17584,4.895117,2.0,0,1,9,133,78,15,28,0.8974359,28,115,18,0,7.330827,39,5,9,8.666667,0.0,0.1703703,254.0885,0.5555556,18,0,0.2222222,63,1,8,2.803731,0,0.8076923,0.03168737,1.438946,2,0.037336,1,1,0,0,5,1,3,0,0,1,1,0,0,57
,17585,4.74357,2.0,0,1,9,121,76,12,23,0.8421053,26,97,23,0,7.675,39,1,9,8.444445,0.25,0.07936507,337.1252,0.2222222,21,0,0.0,65,1,6,2.281965,1,0.8552632,0.03033875,1.591245,0,0.002664,6,6,0,0,3,2,1,0,0,1,0,0,0,56
,17586,4.710011,2.0,0,1,8,102,62,8,17,0.8548387,15,88,14,0,7.009804,29,4,8,7.75,0.0,0.1428571,312.6984,0.375,12,0,0.0,52,2,6,2.831965,0,0.8387097,0.03383267,1.874229,0,0.002664,1,1,1,0,3,1,0,0,0,1,0,0,0,46
,17587,4.623847,2.0,0,1,4,70,39,4,12,0.8461539,12,63,7,0,6.871428,23,1,4,9.75,0.0,0.0,358.6538,0.0,12,0,0.0,35,2,3,1.482649,0,0.8974359,0.05190173,1.518058,0,0.002664,0,0,0,0,2,2,0,0,0,1,0,0,0,29
,17588,4.807564,2.0,0,1,7,116,67,17,12,0.9104478,21,96,20,0,7.844828,36,5,7,9.571428,0.0,0.7777777,281.3492,0.4285714,7,0,0.0,52,0,6,1.303393,0,0.7761194,0.0120412,1.565725,0,0.002664,0,0,0,0,5,2,1,1,1,1,0,0,0,50
,17589,4.726347,2.0,0,1,8,116,71,16,15,0.7887324,20,102,13,0,7.347826,38,2,8,8.875,0.0,0.3809524,281.4626,0.625,6,0,0.0,59,1,5,2.018701,0,0.8309859,0.05846208,1.382655,0,0.002664,0,0,0,0,2,1,1,0,0,1,0,0,0,48
,17590,4.870812,2.0,0,1,6,140,88,20,14,0.8181818,28,129,11,0,6.828571,35,7,6,14.66667,0.0,0.2,263.9194,1.333333,13,0,0.0,62,1,4,1.614961,0,0.7045454,0.0360413,1.582957,0,0.002664,0,0,0,0,8,3,4,0,2,2,0,0,0,55
,17591,4.889626,2.0,0,1,7,129,78,13,24,0.7692308,27,101,24,0,7.896,43,1,7,11.14286,0.0,0.1666667,287.3474,0.5714286,17,0,0.0,60,2,1,0.1608831,0,0.7692308,0.05067316,1.76812,0,0.002664,3,3,1,0,3,2,0,0,0,1,0,0,0,51
,17592,4.948636,2.0,0,1,9,156,93,13,27,0.7956989,31,135,21,0,7.339744,54,3,9,10.33333,0.0,0.7140211,354.5204,0.5555556,27,0,0.0,74,1,4,1.076865,0,0.7956989,0.04859448,1.613635,0,0.002664,2,3,0,2,8,5,4,2,0,2,0,0,0,63
